dbn,school_name,address,lat,lon,district,school_type,grades,has_mshp,chronic_absenteeism_rate,enrollment
12X211,P.S. 211,1919 PROSPECT AVENUE,40.843705,-73.890145,12,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,36.36363602,209.0
12X212,P.S. 212,1180 TINTON AVENUE,40.828406,-73.900121,12,Elementary,"0K,01,02,03,04,05",False,,
10X213,Bronx Engineering and Technology Academy,99 TERRACE VIEW AVENUE,40.877379,-73.912686,10,High School,"09,10,11,12",False,56.3953476,344.0
12X214,P.S. 214,1970 WEST FARMS ROAD,40.839297,-73.879931,12,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,48.22006607,927.0
09X215,Kappa,3630 THIRD AVENUE,40.833493,-73.903951,9,Other,"05,06,07,08",False,23.60248375,161.0
12X217,School of Performing Arts,977 FOX STREET,40.822056,-73.894368,12,Other,"06,07,08",True,44.23077011,156.0
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,1220 GERARD AVENUE,40.835681,-73.919571,9,Middle School,"0K,01,02,03,04,05,06,07,08",False,34.09915543,827.0
09X219,I.S. 219 New Venture School,3630 THIRD AVENUE,40.833493,-73.903951,9,Middle School,"06,07,08",False,37.2262764,274.0
07X221,South Bronx Preparatory: A College Board School,360 EAST 145 STREET,40.813612,-73.920851,7,High School,"06,07,08,09,10,11,12",False,26.50793648,630.0
07X223,The Laboratory School of Finance and Technology: X,360 EAST 145 STREET,40.813612,-73.920851,7,Other,"06,07,08,09,10,11,12",False,27.85388184,657.0
07X224,P.S./I.S. 224,345 BROOK AVENUE,40.810314,-73.918774,7,Middle School,"06,07,08",False,34.05405426,185.0
10X225,Theatre Arts Production Company School,2225 WEBSTER AVENUE,40.854257,-73.897404,10,Other,"06,07,08,09,10,11,12",False,51.50115585,433.0
10X226,P.S. 226,1950 SEDGWICK AVENUE,40.855822,-73.916076,10,Elementary,"PK,0K,01,02,03,04",False,28.36257362,342.0
09X227,Bronx Collegiate Academy,240 EAST 172 STREET,40.839307,-73.911366,9,High School,"09,10,11,12",True,37.00440598,454.0
10X228,Jonas Bronck Academy,400 EAST FORDHAM ROAD,40.860987,-73.891562,10,High School,"06,07,08",False,18.939394,396.0
09X229,I.S. 229 Roland Patterson,275 HARLEM RIVER PARK BRIDGE,40.8524,-73.9216,9,Middle School,"05,06,07,08",True,37.5,184.0
09X231,Eagle Academy for Young Men,4143 THIRD AVENUE,40.845366,-73.897479,9,High School,"06,07,08,09,10,11,12",False,17.06783295,457.0
09X232,I.S. 232,1700 MACOMBS ROAD,40.849416,-73.915217,9,Middle School,"06,07,08",False,29.39068031,279.0
09X236,P.S. 236 Langston Hughes,1871 WALTON AVENUE,40.848907,-73.909936,9,Elementary,"PK,0K,01,02,03,04,05",False,37.31778336,343.0
10X237,"The Marie Curie School for Medicine, Nursing, and",120 WEST 231 STREET,40.875636,-73.901565,10,Other,"09,10,11,12",False,45.99303055,287.0
09X241,Urban Assembly School for Applied Math and Science,1595 BATHGATE AVENUE,40.839508,-73.901774,9,Other,"06,07,08,09,10,11,12",False,57.67097855,541.0
12X242,Mott Hall V,1551 EAST 172ND STREET,40.832508,-73.878191,12,Other,"06,07,08,09,10,11,12",False,32.3262825,662.0
10X243,West Bronx Academy for the Future,500 EAST FORDHAM ROAD,40.859466,-73.888625,10,High School,"06,07,08,09,10,11,12",True,29.64824104,597.0
10X244,The New School for Leadership and Journalism,120 WEST 231 STREET,40.875636,-73.901565,10,Other,"06,07,08",False,32.03252029,615.0
10X246,P.S. 246 Poe Center,2641 GRAND CONCOURSE,40.865972,-73.8953,10,Elementary,"0K,01,02,03,04,05,06",False,47.48490906,497.0
12X248,"Metropolitan High School, The",1180 REV. J.A. POLITE AVE.,40.827539,-73.896925,12,High School,"09,10,11,12",False,61.95121765,205.0
11X249,Bronx Health Sciences High School,750 BAYCHESTER AVENUE,40.874035,-73.831669,11,High School,"09,10,11,12",False,28.80886459,361.0
09X250,Eximius College Preparatory Academy: A College Boa,1363 FULTON AVENUE,40.833884,-73.902794,9,High School,"09,10,11,12",False,42.97082138,377.0
12X251,Explorations Academy H.S.,1619 BOSTON ROAD,40.836245,-73.890591,12,High School,"09,10,11,12",True,36.33093643,278.0
09X252,Mott Hall Bronx High School,1595 BATHGATE AVENUE,40.839508,-73.901774,9,High School,"09,10,11,12",False,48.95522308,335.0
11X253,Bronx High School for Writing and Communication Ar,800 EAST GUN HILL ROAD,40.875172,-73.861649,11,High School,"09,10,11,12",False,,
